web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752407960-12","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/352279204","agusisrawan","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang sudah sampai dengan cepat dan kondisinya bagus. Terimakasih","Membantu?","2023-08-26 00:41 | Variasi: 41"
"1752407960-13","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: bagus cocok untuk berolahragaPerforma: sangat bangusKualitas: bagus","Sepatu lokal berkualitas bagus, empuk banget,
mantap enak sangat di gunakan","1","2024-02-03 13:44 | Variasi: 40"
"1752407960-14","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang diterima dg baik dan sesuai pesanan. Terimakasih pelapak.","Membantu?","2024-03-10 12:30 | Variasi: 39"
"1752407960-15","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","3","2023-08-13 16:38 | Variasi: 41"
"1752407960-16","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/359520526","surulmm","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: cocok buat lariUkuran: pas mantapDesain: jossss","","Membantu?","2024-05-23 14:31 | Variasi: 42"
"1752407960-17","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: belum dicoba..hanya saja ukuran yang kegedeaan.minta insol 28.0.dikasi 28.8..sedikit kecewaCocok Untuk: buat lariKualitas: lumayan","","9","2023-10-02 19:16 | Variasi: 44"
"1752407960-18","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/131850783","koetay","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang good real pick","1","2024-01-15 22:07 | Variasi: 44"
"1752407960-19","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/442970530","ahmadmaulanaalid","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: bagusCocok Untuk: berbagai jenis olahragaPerforma: sangat keren","Barang sesuai dengan pesanan tidak mengecewakan sangat senang sekali, ukuran pas dan tampilan keren","Membantu?","2024-02-24 12:07 | Variasi: 40"
"1752407960-20","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/152551792","djatnikaiskandar","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Mksh sepatu nya dah nyampai","1","2024-02-18 16:06 | Variasi: 44"
"1752407960-21","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1181589893","fahmiilhamiramadan","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: mantapCocok Untuk: recovery runKualitas: bagus","Jos gandos mbeledos maknyos os os","Membantu?","2024-02-25 17:21 | Variasi: 40"
"1752407960-22","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/258242402","sund4nese","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Packing sembarangan sepatu baru tapi penuh jamur kecewa banget lain kali di cek lagi barangnya !!!!","Membantu?","2025-02-10 09:11 | Variasi: 42"
"1752407960-23","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/112095740","litraekaputra001","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-04-20 19:40 | Variasi: 39"
"1752407960-24","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1045763651","panzeeyn","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: di pesan warna biru tua malah yang Dateng warna ijo","","Membantu?","2024-02-11 11:38 | Variasi: 42"
"1752407960-25","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/734061369","enthamahendra249","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: Ngeriiiii bagus Bangeetttt....Performa: luarrrrr biasaaaCocok Untuk: Olahraga khusus nya Lari","Jangan Ragu deh, krn Sepatunya sama kyk diphoto, Ringan, nyaman di Kaki, warna nya menarik,.....
kalo ada 10 Bintang gua kasih dah...

Sukses 910Nineten...","Membantu?","2024-02-03 05:03 | Variasi: 42"
"1752407960-26","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/5156798","ellykartika","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","barang baguss,sangat baguss,","Membantu?","2024-02-13 16:20 | Variasi: 45"
"1752407960-27","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-03-28 18:55 | Variasi: 40"
"1752407960-28","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/931976426","vanndaa520","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: bagusCocok Untuk: long run","","Membantu?","2024-05-04 14:33 | Variasi: 42"
"1752407960-29","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/802342167","novita_110214","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: baik sekaliPerforma: bagus sekali","Bagus banget, memang harga menentukan kualitas 😍","Membantu?","2024-01-21 19:17 | Variasi: 39"
"1752407960-30","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/13189014","rizzanggravita","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Sepatunya baguuss.. Warnanya baguuss, dan empuk dipakai lari.. Pengiriman juga cepat.. Makasih seller","Membantu?","2024-01-18 22:34 | Variasi: 40"
"1752407960-31","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1003595312","irpn2z48s5","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: long runKualitas: okePerforma: oke","Bagus bgt coo ringan bgt","Membantu?","2024-05-13 21:41 | Variasi: 40"
"1752407960-32","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/20449384","noviaolive","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: jogingKualitas: ok premiumPerforma: keren","","Membantu?","2024-03-01 09:33 | Variasi: 41"
"1752407960-33","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/428221874","muhammad_shifaul_q.","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2023-08-19 10:05 | Variasi: 44"
"1752407960-34","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/54047295","mulinadi","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: runningUkuran: sedikit besarDesain: bagus","","Membantu?","2024-06-12 17:54 | Variasi: 41"
"1752407960-35","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/45925766","mamay4043","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: ok","","Membantu?","2024-03-01 12:11 | Variasi: 39"
"1752407960-36","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/86187558","alexsaptona","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-02-14 11:20 | Variasi: 43"
"1752407960-37","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/786149822","berwinraffaelambarita","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: TerbajkCocok Untuk: semua lintasanKualitas: Baguss terbaik paling keren","","Membantu?","2023-08-16 20:18 | Variasi: 42"
"1752407960-38","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/104613508","nitahn30","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: joging santaiUkuran: blom gw coba karna masih dirumah sakiyDesain: udah pasti keren si","","Membantu?","2024-12-16 21:34 | Variasi: 43"
"1752407960-39","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: RunKualitas: Belum dicoba, sepertinya ringan","","Membantu?","2024-03-30 14:10 | Variasi: 42"
"1752407960-40","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/91586545","r_vernando","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagus","","Membantu?","2024-02-08 19:19 | Variasi: 41"
"1752407960-41","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/872439652","fatirrizafarmadi135","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2023-11-01 08:26 | Variasi: 43"
"1752407960-42","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1079029515","lolafebriyan","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagusKualitas: bagysCocok Untuk: bagys","","Membantu?","2024-03-16 12:51 | Variasi: 42"
"1752407960-43","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/438037376","septianaditia17","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: okeUkuran: okeDesain: sesui","","Membantu?","2024-06-19 01:51 | Variasi: 40"
"1752407960-44","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1042814576","zidanefauzi986","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagus dan empukCocok Untuk: lari/jogingKualitas: bagus","","Membantu?","2024-02-17 17:49 | Variasi: 43"
"1752407960-45","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: runningKualitas: okPerforma: good","","Membantu?","2024-01-30 15:07 | Variasi: 44"
