web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752462696-1253","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/22123090","linabundanyaraziq","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: okDesain: okKeaslian: ok","","Membantu?","2024-09-15 22:46 | Variasi: 42"
"1752462696-1254","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/257531269","suprihartiwi_","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: bagusKegunaan: bagusKeaslian: bagus","Amanah.sesuai gambar.monggo segera diorder","Membantu?","2025-02-01 15:03 | Variasi: 42"
"1752462696-1255","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Keren","Membantu?","2024-10-24 20:31 | Variasi: 41"
"1752462696-1256","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/69182432","doniwardanaputra","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Agak cacad sedikit ya tapi bukan masalah lah","Membantu?","2024-11-21 21:41 | Variasi: 40"
"1752462696-1257","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/39745427","ahmad.fuadi","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: sesuai deskripsiKualitas: baik","Respon cepat, pengiriman cepat..mantap. smg awet","Membantu?","2024-04-23 22:32 | Variasi: 39"
"1752462696-1258","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/954474291","ad3lia16","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Bagus...","Membantu?","2024-10-27 17:33 | Variasi: 41"
"1752462696-1259","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/977532768","pujibasuki684","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: biasaPerforma: burukCocok Untuk: lari","Untuk harga di atas 500 sepatunya buruk
Kualitas masih lebih bagus sepatu harga 200 an 
Lem tidak rapi dan semacam nya pengiriman juga lama","3","2024-01-20 12:21 | Variasi: 40"
"1752462696-1260","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/377861864","rwnetty15","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","box menyedihkan","Membantu?","2024-09-03 11:16 | Variasi: 39"
"1752462696-1261","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/802625554","dandisaputraid","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: enakDesain: bagusKeaslian: asli","lem nya pda keluar semua","Membantu?","2024-10-16 17:17 | Variasi: 45"
"1752462696-1262","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/271399156","haana2","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Terimakasih sepatu sdh sampai dan bagus","Membantu?","2024-11-19 11:06 | Variasi: 43"
"1752462696-1263","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/645634510","heriahmad844","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: yg senang olahraga ringan","","Membantu?","2024-01-19 11:18 | Variasi: 40"
"1752462696-1264","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/481589155","ikmalurrijal7","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","produk bagus cuman pengiriman aga lama","1","2024-02-19 20:07 | Variasi: 44"
