user,item,ranks,norm_ranks,test_year
227174004,26505545956,,,2024
168705704,26505545956,,,2024
270972543,26505545956,,,2024
362783875,26505545956,,,2024
362783875,23722869496,3.0,3.0,2024
362783875,28950094524,,,2024
141498191,26505545956,,,2024
1298325047,26505545956,,,2024
125766647,26505545956,,,2024
17686312,26505545956,,,2024
54335,26505545956,,,2024
251610452,26505545956,,,2024
137026506,26505545956,,,2024
52203160,26505545956,,,2024
18136955,26505545956,,,2024
93882006,26505545956,,,2024
370018615,26505545956,,,2024
820154990,26505545956,,,2024
946539204,26505545956,,,2024
1003167816,26505545956,,,2024
559422076,26505545956,,,2024
85671312,26505545956,,,2024
181141939,26505545956,,,2024
203479539,26505545956,,,2024
224435208,26505545956,,,2024
1025381607,26505545956,,,2024
776406264,26505545956,,,2024
157779670,26505545956,,,2024
89099124,26505545956,,,2024
559369638,26505545956,,,2024
337129046,26505545956,,,2024
268948377,26505545956,,,2024
71127641,26505545956,,,2024
193237983,23088601843,14.0,14.0,2024
190437490,23088601843,14.0,14.0,2024
765939409,23088601843,14.0,14.0,2024
327463328,23088601843,14.0,14.0,2024
617553618,23088601843,14.0,14.0,2024
446918602,23088601843,14.0,14.0,2024
57085967,23088601843,14.0,14.0,2024
16403954,23088601843,14.0,14.0,2024
193325492,23088601843,14.0,14.0,2024
522118957,23088601843,14.0,14.0,2024
321930618,23088601843,14.0,14.0,2024
644787634,23088601843,14.0,14.0,2024
155213106,23088601843,14.0,14.0,2024
866311432,23088601843,14.0,14.0,2024
502253940,23088601843,14.0,14.0,2024
124854812,23088601843,14.0,14.0,2024
848960625,23088601843,14.0,14.0,2024
34947099,23088601843,14.0,14.0,2024
753005509,23088601843,14.0,14.0,2024
366322552,23088601843,14.0,14.0,2024
617328390,23088601843,14.0,14.0,2024
218585882,23088601843,14.0,14.0,2024
941414129,23088601843,14.0,14.0,2024
35634048,23088601843,14.0,14.0,2024
170093891,23088601843,14.0,14.0,2024
14070379,23088601843,14.0,14.0,2024
119918855,23088601843,14.0,14.0,2024
110589986,23088601843,14.0,14.0,2024
91844506,23088601843,14.0,14.0,2024
259761836,23088601843,14.0,14.0,2024
76916774,23088601843,14.0,14.0,2024
556232,23088601843,14.0,14.0,2024
55233934,23088601843,14.0,14.0,2024
398375586,23088601843,14.0,14.0,2024
16366076,23088601843,14.0,14.0,2024
167095553,23088601843,14.0,14.0,2024
151127743,23088601843,14.0,14.0,2024
21030648,23088601843,14.0,14.0,2024
25663670,23088601843,14.0,14.0,2024
120261021,23088601843,14.0,14.0,2024
74271063,23088601843,14.0,14.0,2024
225528157,23088601843,14.0,14.0,2024
99175290,23088601843,14.0,14.0,2024
522592287,23088601843,14.0,14.0,2024
332770986,23088601843,14.0,14.0,2024
1137703936,23088601843,14.0,14.0,2024
1283642604,23088601843,14.0,14.0,2024
275612258,23088601843,14.0,14.0,2024
254219211,23088601843,14.0,14.0,2024
975037179,23088601843,14.0,14.0,2024
774473529,23088601843,14.0,14.0,2024
1218669756,23088601843,14.0,14.0,2024
154047283,23088601843,14.0,14.0,2024
927271878,23088601843,14.0,14.0,2024
809464880,23088601843,14.0,14.0,2024
1138470352,23088601843,14.0,14.0,2024
